workerid,condition,stim_present,stimulus,response,correct,rt
S72,1,1000,48,0,1,914
S72,1,1000,1,1,1,357
S72,1,1000,86,1,1,642
S72,1,1000,69,0,1,331
S72,1,1000,91,0,1,1016
S72,1,1000,70,0,1,316
S72,1,1000,10,0,1,498
S72,1,1000,28,1,1,414
S72,1,1000,8,1,1,760
S72,1,1000,88,1,1,462
S72,1,1000,101,1,0,393
S72,1,1000,105,1,1,341
S72,1,1000,6,0,1,562
S72,1,1000,80,0,0,859
S72,1,1000,68,0,1,350
S72,1,1000,98,1,1,845
S154,1,0,40,0,0,1641
S154,1,0,96,1,0,555
S154,1,0,65,0,1,632
S154,1,0,99,0,1,1095
S154,1,0,108,1,1,858
S154,1,0,11,0,1,1228
S154,1,0,105,1,1,1095
S154,1,0,111,1,0,950
S154,1,0,32,1,0,689
S154,1,0,89,0,1,473
S154,1,0,61,1,1,339
S154,1,0,24,0,1,537
S154,1,0,104,1,0,394
S154,1,0,25,0,1,307
S154,1,0,30,1,0,382
S154,1,0,70,0,0,415
S154,1,0,62,0,0,535
S154,1,0,18,1,0,445
S154,1,0,8,0,1,395
S154,1,0,27,1,0,342
S154,1,0,51,1,0,441
S154,1,0,1,1,0,373
S154,1,0,77,0,1,260
S154,1,0,9,1,1,348
S154,1,0,29,0,1,290
S154,1,0,80,1,0,293
S154,1,0,69,0,1,410
S154,1,0,0,1,0,231
S154,1,0,14,0,0,224
S154,1,0,74,1,0,107
S154,1,0,73,1,0,476
S154,1,0,102,1,0,236
S154,1,0,91,0,1,679
S154,1,0,13,0,0,373
S154,1,0,109,1,1,237
S154,1,0,3,1,1,322
S154,1,0,82,0,1,819
S154,1,0,63,1,0,671
S154,1,0,78,0,0,304
S154,1,0,72,1,1,164
S154,1,0,81,1,1,1200
S154,1,0,39,0,0,789
S154,1,0,64,1,1,357
S154,1,0,22,0,1,164
S154,1,0,19,1,1,129
S154,1,0,28,1,1,316
S154,1,0,87,1,0,270
S154,1,0,100,0,1,183
S154,1,0,49,1,1,268
S154,1,0,101,0,1,242
S154,1,0,59,0,0,330
S154,1,0,93,1,1,248
S154,1,0,21,0,0,169
S154,1,0,17,1,1,252
S154,1,0,52,1,0,107
S154,1,0,6,0,1,229
S154,1,0,68,1,0,147
S154,1,0,37,0,0,88
S154,1,0,67,0,0,93
S154,1,0,34,1,1,98
S154,1,0,12,1,1,794
S154,1,0,36,0,1,353
S154,1,0,16,1,1,235
S154,1,0,85,0,1,117
S154,1,0,95,0,1,189
S154,1,0,53,0,0,383
S154,1,0,86,0,1,82
S154,1,0,33,0,1,29
S154,1,0,110,0,1,900
S154,1,0,60,0,0,38
S154,1,0,35,1,0,322
S154,1,0,20,0,1,313
S154,1,0,79,1,1,267
S154,1,0,94,0,0,220
S154,1,0,7,1,0,213
S154,1,0,66,1,1,182
S154,1,0,114,1,1,159
S154,1,0,90,0,0,95
S154,1,0,115,1,0,139
S154,1,0,5,1,1,240
S154,1,0,88,1,1,584
S154,1,0,103,0,0,541
S154,1,0,43,1,0,178
S154,1,0,38,0,1,309
S154,1,0,106,1,0,268
S154,1,0,98,1,1,103
S154,1,0,118,0,0,54
S154,1,0,23,1,1,185
S154,1,0,31,0,1,73
S154,1,0,10,0,1,83
S154,1,0,75,0,0,33
